WBS Number,Title,Start,End,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1.2.4.3.5.1,4hr X number of function,T+52d 10:00 AM,T+53d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.4,Open Prototype Implementation,T+38d 10:00 AM,T+46d 12:00 PM,1w 3d 2h,1w 2d 2h,0%,,,,,,,,,,,,,
1.2.4.4.1,Component Order [30],T+38d 10:00 AM,T+38d 12:00 PM,2h,2h,0%,,,,,,,,,,,0,,
1.2.4.4.2,Component Shipment,T+38d 1:00 PM,T+43d 12:00 PM,1w,1w,0%,,Shipping,,,,,,,1.2.4.4.1,,0,,
1.2.4.4.3,Build 1hr/Feature,T+43d 1:00 PM,T+44d 12:00 PM,1d,1d,0%,,,,,,,,,1.2.4.4.2,,0,,
1.2.4.4.4,Assembly,T+44d 1:00 PM,T+46d 12:00 PM,2d,1d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.4.3,,0,,
1.2.4.5,System Implementation,T+38d 10:00 AM,T+55d 10:00 AM,3w 2d,2w 1d,0%,,,,,,,,,,,,,
1.2.4.5.1,Cable Diagram,T+38d 10:00 AM,T+39d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.5.2,System BOM,T+39d 10:00 AM,T+40d 10:00 AM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.5.1,,0,,
1.2.4.5.3,System BOM Sourcing,T+40d 10:00 AM,T+46d 10:00 AM,1w 1d,3d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.5.2,,0,,
1.2.4.5.4,System BOM Shipment,T+46d 10:00 AM,T+51d 10:00 AM,1w,1w,0%,,Shipping,,,,,,,1.2.4.5.3,,0,,
1.2.4.5.5,System Assembly,T+51d 10:00 AM,T+55d 10:00 AM,4d,2d,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.5.4,,0,,
1.2.4.6,PCB Implementation,T+38d 10:00 AM,T+58d 8:30 AM,3w 4d 6h 30m 6s,2w 3d 7h 30m,0%,,,,,,,,,1.2.3.9,,,,
1.2.4.6.1,Library,T+38d 10:00 AM,T+40d 10:00 AM,2d,1d,0%,,,,,,,,,,,,,
1.2.4.6.1.1,Major Component Library  Creation .5hr base,T+38d 10:00 AM,T+38d 3:00 PM,4h,2h,0%,,Malcolm Knapp {50% of 50%},,,,,,,,,0,,
1.2.4.6.1.2,Major Component Library Review,T+38d 3:00 PM,T+39d 3:00 PM,1d,4h,0%,,Malcolm Knapp {50% of 50%},,,,,,,1.2.4.6.1.1,,0,,
